Rebounds,Assists,Turnovers,Steals,Blocks,PersonalFouls,Points,Position,GenPosition
 Aaron Gray,4.2 ,0.4 ,0.8 ,0.3 ,0.3 ,2.3 ,3.1 ,Center,Center
 Al Harrington,4.5 ,1.4 ,1.5 ,0.5 ,0.1 ,2.8 ,10.5 ,Forward Center,Forward
 Al Horford,9.3 ,3.5 ,1.5 ,0.8 ,1.0 ,2.5 ,15.3 ,Forward Center,Forward
 Al Jefferson,9.7 ,1.8 ,1.3 ,0.6 ,1.9 ,2.9 ,18.6 ,Forward Center,Forward
 Al Thornton,3.0 ,0.9 ,0.9 ,0.5 ,0.2 ,2.0 ,7.4 ,Forward,Forward
 Al-Farouq Aminu,3.3 ,0.7 ,1.3 ,0.7 ,0.3 ,1.5 ,5.6 ,Forward,Forward
 Alexis Ajinca,2.3 ,0.3 ,0.5 ,0.3 ,0.6 ,2.1 ,4.2 ,Forward Center,Forward
 Alonzo Gee,3.3 ,0.7 ,1.0 ,0.7 ,0.3 ,1.7 ,5.9 ,Guard Forward,Guard
 Amir Johnson,6.4 ,1.1 ,1.0 ,0.7 ,1.2 ,3.7 ,9.6 ,Forward Center,Forward
 Anderson Varejao,9.7 ,1.5 ,1.3 ,0.9 ,1.2 ,2.8 ,9.1 ,Forward Center,Forward
 Andray Blatche,8.2 ,2.3 ,2.7 ,1.5 ,0.8 ,2.8 ,16.8 ,Forward Center,Forward
 Andre Iguodala,5.8 ,6.3 ,2.1 ,1.5 ,0.6 ,1.6 ,14.1 ,Guard Forward,Guard
 Andre Miller,3.7 ,7.0 ,2.4 ,1.4 ,0.1 ,2.1 ,12.7 ,Guard,Guard
 Andrea Bargnani,5.2 ,1.8 ,2.3 ,0.5 ,0.7 ,2.4 ,21.4 ,Forward Center,Forward
 Andrei Kirilenko,5.1 ,3.0 ,1.8 ,1.3 ,1.2 ,1.8 ,11.7 ,Forward,Forward
 Andres Nocioni,3.1 ,0.8 ,0.9 ,0.3 ,0.3 ,1.9 ,6.1 ,Forward,Forward
 Andrew Bogut,11.1 ,2.0 ,1.9 ,0.7 ,2.6 ,3.3 ,12.8 ,Center,Center
 Andrew Bynum,9.4 ,1.4 ,1.4 ,0.4 ,2.0 ,2.6 ,11.3 ,Center,Center
 Andris Biedrins,7.2 ,1.0 ,1.0 ,0.9 ,0.9 ,3.4 ,5.0 ,Center,Center
 Antawn Jamison,6.7 ,1.7 ,1.4 ,0.9 ,0.5 ,2.4 ,18.0 ,Power Forward,Forward
 Anthony Morrow,3.0 ,1.2 ,0.9 ,0.3 ,0.1 ,2.3 ,13.2 ,Guard Forward,Guard
 Anthony Parker,3.0 ,3.0 ,1.1 ,0.9 ,0.1 ,1.5 ,8.3 ,Guard Forward,Guard
 Anthony Randolph,4.0 ,0.8 ,1.3 ,0.6 ,0.6 ,1.6 ,7.6 ,Forward Center,Forward
 Anthony Tolliver,4.5 ,1.3 ,0.8 ,0.4 ,0.4 ,2.2 ,6.7 ,Forward,Forward
 Antoine Wright,0.4 ,0.0 ,0.1 ,0.1 ,0.0 ,0.4 ,0.3 ,Guard Forward,Guard
 Antonio McDyess,5.4 ,1.2 ,1.0 ,0.5 ,0.5 ,2.2 ,5.3 ,Forward Center,Forward
 Arron Afflalo,3.6 ,2.4 ,1.0 ,0.5 ,0.4 ,2.2 ,12.6 ,Guard Forward,Guard
 Austin Daye,3.8 ,1.1 ,0.8 ,0.5 ,0.5 ,2.3 ,7.5 ,Forward,Forward
 Avery Bradley,0.5 ,0.4 ,0.5 ,0.3 ,0.0 ,0.6 ,1.7 ,Guard,Guard
 Ben Gordon,2.4 ,2.1 ,1.7 ,0.6 ,0.2 ,2.2 ,11.2 ,Shooting Guard,Guard
 Ben Uzoh,1.5 ,1.6 ,0.6 ,0.3 ,0.2 ,0.7 ,3.8 ,Guard,Guard
 Ben Wallace,6.5 ,1.3 ,0.8 ,1.0 ,1.0 ,1.5 ,2.9 ,Forward Center,Forward
 Beno Udrih,3.4 ,4.9 ,1.8 ,1.2 ,0.1 ,2.3 ,13.7 ,Point Guard,Guard
 Blake Griffin,12.1 ,3.8 ,2.7 ,0.8 ,0.5 ,3.1 ,22.5 ,Forward Center,Forward
 Bobby Simmons,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,Forward,Forward
 Boris Diaw,5.0 ,4.1 ,2.0 ,0.9 ,0.6 ,2.3 ,11.3 ,Forward Center,Forward
 Brad Miller,3.7 ,2.4 ,0.9 ,0.5 ,0.4 ,1.6 ,6.4 ,Center,Center
 Brandan Wright,2.4 ,0.3 ,0.4 ,0.3 ,0.5 ,0.9 ,3.8 ,Forward Center,Forward
 Brandon Bass,5.6 ,0.8 ,1.3 ,0.4 ,0.7 ,2.1 ,11.2 ,Forward Center,Forward
 Brandon Roy,2.6 ,2.7 ,1.2 ,0.8 ,0.3 ,1.6 ,12.2 ,Guard Forward,Guard
 Brandon Rush,3.2 ,0.9 ,1.0 ,0.6 ,0.5 ,1.6 ,9.1 ,Guard Forward,Guard
 Brendan Haywood,5.2 ,0.3 ,0.7 ,0.2 ,1.0 ,2.0 ,4.4 ,Center,Center
 Brian Cardinal,1.1 ,0.7 ,0.3 ,0.4 ,0.1 ,1.5 ,2.6 ,Forward,Forward
 Brian Cook,2.4 ,0.4 ,0.6 ,0.3 ,0.3 ,1.9 ,4.8 ,Power Forward,Forward
 Brian Scalabrine,0.4 ,0.3 ,0.3 ,0.2 ,0.2 ,1.0 ,1.1 ,Forward Center,Forward
 Brian Skinner,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,Forward Center,Forward
 Brook Lopez,6.0 ,1.6 ,2.1 ,0.6 ,1.5 ,2.9 ,20.4 ,Point Guard,Guard
 Byron Mullens,1.8 ,0.0 ,0.6 ,0.2 ,0.2 ,0.8 ,1.9 ,Forward Center,Forward
 C.J. Miles,3.3 ,1.7 ,1.2 ,0.9 ,0.5 ,2.8 ,12.8 ,Guard Forward,Guard
 C.J. Watson,1.1 ,2.3 ,0.9 ,0.7 ,0.1 ,1.0 ,4.9 ,Point Guard,Guard
 Carl Landry,4.6 ,0.8 ,1.4 ,0.5 ,0.4 ,2.6 ,11.9 ,Forward,Forward
 Carlos Boozer,9.6 ,2.5 ,2.5 ,0.8 ,0.3 ,3.2 ,17.5 ,Forward Center,Forward
 Carlos Delfino,4.1 ,2.3 ,1.2 ,1.6 ,0.2 ,1.5 ,11.5 ,Guard Forward,Guard
 Carmelo Anthony,7.3 ,2.9 ,2.7 ,0.9 ,0.6 ,2.9 ,25.6 ,Forward,Forward
 Caron Butler,4.1 ,1.6 ,1.7 ,1.0 ,0.3 ,2.0 ,15.0 ,Small Forward,Forward
 Cartier Martin,1.4 ,0.3 ,0.3 ,0.3 ,0.1 ,1.0 ,4.0 ,Guard Forward,Guard
 Channing Frye,6.7 ,1.2 ,0.9 ,0.6 ,1.0 ,3.5 ,12.7 ,Forward Center,Forward
 Charlie Bell,0.9 ,0.7 ,0.3 ,0.3 ,0.1 ,0.7 ,1.7 ,Guard Forward,Guard
 Charlie Villanueva,3.9 ,0.6 ,0.9 ,0.6 ,0.6 ,2.3 ,11.1 ,Power Forward,Forward
 Chase Budinger,3.6 ,1.6 ,0.9 ,0.5 ,0.2 ,1.5 ,9.8 ,Guard Forward,Guard
 Chauncey Billups,2.6 ,5.4 ,2.5 ,1.0 ,0.2 ,2.0 ,16.8 ,Guard,Guard
 Chris Andersen,4.9 ,0.4 ,0.6 ,0.5 ,1.3 ,1.8 ,5.6 ,Forward Center,Forward
 Chris Bosh,8.3 ,1.9 ,1.8 ,0.8 ,0.6 ,2.2 ,18.7 ,Forward Center,Forward
 Chris Douglas-Roberts,2.0 ,1.1 ,0.8 ,0.7 ,0.3 ,1.7 ,7.3 ,Guard Forward,Guard
 Chris Johnson,2.3 ,0.2 ,0.7 ,0.2 ,0.6 ,1.5 ,2.4 ,Center,Center
 Chris Kaman,7.0 ,1.4 ,1.8 ,0.5 ,1.5 ,2.3 ,12.4 ,Forward Center,Forward
 Chris Paul,4.1 ,9.8 ,2.2 ,2.4 ,0.1 ,2.5 ,15.9 ,Point Guard,Guard
 Chris Wilcox,4.8 ,0.8 ,0.8 ,0.5 ,0.3 ,2.5 ,7.4 ,Forward Center,Forward
 Christian Eyenga,2.8 ,0.8 ,1.1 ,0.8 ,0.6 ,1.8 ,6.9 ,Small Forward,Forward
 Chuck Hayes,8.1 ,2.7 ,1.2 ,1.1 ,0.7 ,2.7 ,7.9 ,Forward Center,Forward
 Cole Aldrich,1.9 ,0.2 ,0.4 ,0.3 ,0.4 ,1.7 ,1.0 ,Center,Center
 Corey Brewer,2.5 ,1.3 ,1.3 ,1.4 ,0.2 ,2.3 ,8.0 ,Guard Forward,Guard
 Corey Maggette,3.6 ,1.3 ,1.9 ,0.3 ,0.1 ,2.6 ,12.0 ,Forward,Forward
 Courtney Lee,2.6 ,1.2 ,0.8 ,0.7 ,0.2 ,1.3 ,8.3 ,Guard Forward,Guard
 Craig Brackins,1.3 ,0.3 ,0.0 ,0.3 ,0.0 ,1.0 ,2.7 ,Power Forward,Forward
 Craig Smith,2.4 ,0.6 ,0.7 ,0.3 ,0.1 ,1.8 ,5.4 ,Power Forward,Forward
 D.J. Augustin,2.7 ,6.1 ,1.9 ,0.7 ,0.0 ,1.9 ,14.4 ,Point Guard,Guard
 Daequan Cook,1.7 ,0.5 ,0.4 ,0.3 ,0.0 ,1.2 ,5.6 ,Guard Forward,Guard
 Dahntay Jones,1.4 ,0.7 ,0.7 ,0.4 ,0.2 ,1.6 ,6.3 ,Guard Forward,Guard
 DaJuan Summers,0.5 ,0.1 ,0.6 ,0.1 ,0.0 ,1.0 ,3.4 ,Forward,Forward
 Damien Wilkins,1.7 ,0.8 ,0.4 ,0.5 ,0.2 ,1.4 ,3.5 ,Guard Forward,Guard
 Damion James,3.4 ,0.8 ,1.0 ,0.6 ,0.5 ,1.4 ,4.4 ,Small Forward,Forward
 Dan Gadzuric,3.2 ,0.3 ,0.7 ,0.3 ,0.7 ,2.2 ,2.8 ,Forward Center,Forward
 Daniel Gibson,2.6 ,3.0 ,1.2 ,0.7 ,0.3 ,2.3 ,11.6 ,Guard,Guard
 Danilo Gallinari,4.9 ,1.7 ,1.3 ,0.8 ,0.4 ,2.3 ,15.6 ,Forward,Forward
 Danny Granger,5.4 ,2.6 ,2.6 ,1.1 ,0.8 ,2.7 ,20.5 ,Small Forward,Forward
 Danny Green,1.9 ,0.3 ,0.6 ,0.3 ,0.1 ,0.9 ,5.1 ,Guard Forward,Guard
 Dante Cunningham,3.6 ,0.6 ,0.7 ,0.7 ,0.6 ,2.3 ,6.2 ,Forward,Forward
 Darius Songaila,1.0 ,0.2 ,0.4 ,0.0 ,0.0 ,1.6 ,1.6 ,Forward Center,Forward
 Darko Milicic,5.2 ,1.5 ,2.2 ,0.8 ,2.0 ,3.3 ,8.8 ,Center,Center
 Darnell Jackson,1.6 ,0.2 ,0.4 ,0.2 ,0.1 ,1.0 ,3.2 ,Power Forward,Forward
 Darrell Arthur,4.3 ,0.7 ,1.1 ,0.7 ,0.8 ,2.9 ,9.1 ,Forward Center,Forward
 Darren Collison,2.8 ,5.1 ,2.5 ,1.1 ,0.2 ,1.4 ,13.2 ,Point Guard,Guard
 David Andersen,2.1 ,0.3 ,0.6 ,0.1 ,0.2 ,1.0 ,3.4 ,Forward Center,Forward
 David Lee,9.8 ,3.2 ,2.3 ,1.0 ,0.4 ,2.9 ,16.5 ,Forward Center,Forward
 David West,7.6 ,2.3 ,2.0 ,1.0 ,0.9 ,2.9 ,18.9 ,Power Forward,Forward
 DeAndre Jordan,7.2 ,0.5 ,1.3 ,0.5 ,1.8 ,3.2 ,7.1 ,Center,Center
 DeJuan Blair,7.0 ,1.0 ,1.4 ,1.2 ,0.5 ,2.6 ,8.3 ,Forward Center,Forward
 Delonte West,1.5 ,2.7 ,1.3 ,0.8 ,0.4 ,1.2 ,5.6 ,Guard,Guard
 DeMar DeRozan,3.8 ,1.8 ,1.8 ,1.0 ,0.4 ,2.6 ,17.2 ,Guard Forward,Guard
 DeMarcus Cousins,8.6 ,2.5 ,3.3 ,1.0 ,0.8 ,4.1 ,14.1 ,Forward Center,Forward
 DeMarre Carroll,0.7 ,0.3 ,0.0 ,0.1 ,0.1 ,0.4 ,0.8 ,Forward,Forward
 Derek Fisher,1.9 ,2.7 ,0.9 ,1.2 ,0.1 ,2.3 ,6.8 ,Point Guard,Guard
 Derrick Brown,2.0 ,0.7 ,0.7 ,0.4 ,0.2 ,1.2 ,3.8 ,Forward,Forward
 Derrick Caracter,1.0 ,0.2 ,0.5 ,0.1 ,0.2 ,1.1 ,2.0 ,Power Forward,Forward
 Derrick Favors,5.3 ,0.5 ,1.0 ,0.4 ,0.9 ,3.2 ,6.8 ,Forward Center,Forward
 DeSagana Diop,2.5 ,0.4 ,0.7 ,0.3 ,0.9 ,1.6 ,1.3 ,Center,Center
 DeShawn Stevenson,1.5 ,1.1 ,0.6 ,0.3 ,0.1 ,1.0 ,5.3 ,Shooting Guard,Guard
 Devin Ebanks,1.4 ,0.1 ,0.3 ,0.2 ,0.3 ,0.4 ,3.1 ,Guard Forward,Guard
 Devin Harris,2.4 ,7.1 ,2.9 ,1.0 ,0.1 ,2.3 ,15.2 ,Guard,Guard
 Dexter Pittman,1.5 ,0.0 ,1.0 ,0.0 ,0.0 ,1.0 ,1.0 ,Center,Center
 Dirk Nowitzki,7.0 ,2.6 ,1.9 ,0.5 ,0.6 ,2.4 ,23.0 ,Forward Center,Forward
 DJ Mbenga,2.1 ,0.1 ,0.5 ,0.1 ,0.7 ,1.3 ,1.4 ,Center,Center
 DJ White,3.4 ,0.4 ,0.3 ,0.3 ,0.4 ,1.6 ,5.7 ,Power Forward,Forward
 Dominic McGuire,3.8 ,0.8 ,0.5 ,0.2 ,0.6 ,1.8 ,3.3 ,Forward,Forward
 Dominique Jones,1.4 ,1.1 ,0.6 ,0.3 ,0.2 ,0.4 ,2.3 ,Guard,Guard
 Donte Greene,2.1 ,0.7 ,0.9 ,0.5 ,0.3 ,1.3 ,5.8 ,Forward,Forward
 Dorell Wright,5.3 ,3.0 ,1.6 ,1.5 ,0.8 ,2.1 ,16.4 ,Guard Forward,Guard
 Drew Gooden,6.8 ,1.3 ,1.3 ,0.6 ,0.5 ,2.8 ,11.3 ,Forward Center,Forward
 Dwight Howard,14.1 ,1.4 ,3.6 ,1.4 ,2.4 ,3.3 ,22.9 ,Forward Center,Forward
 Earl Barron,3.6 ,0.5 ,0.8 ,0.4 ,0.3 ,2.2 ,3.8 ,Forward Center,Forward
 Earl Clark,2.4 ,0.2 ,0.7 ,0.2 ,0.4 ,1.1 ,3.9 ,Forward,Forward
 Earl Watson,2.3 ,3.5 ,1.5 ,0.8 ,0.2 ,1.8 ,4.3 ,Point Guard,Guard
 Ed Davis,7.1 ,0.6 ,0.7 ,0.6 ,1.0 ,2.8 ,7.7 ,Forward Center,Forward
 Eddie House,1.6 ,1.1 ,0.5 ,0.6 ,0.1 ,1.2 ,6.5 ,Guard,Guard
 Eduardo Najera,1.4 ,0.6 ,0.4 ,0.4 ,0.2 ,1.7 ,2.2 ,Forward Center,Forward
 Ekpe Udoh,3.1 ,0.7 ,0.8 ,0.4 ,1.5 ,2.5 ,4.1 ,Forward Center,Forward
 Elton Brand,8.3 ,1.5 ,1.2 ,1.1 ,1.3 ,3.0 ,15.0 ,Forward Center,Forward
 Emeka Okafor,9.5 ,0.6 ,1.7 ,0.6 ,1.8 ,3.2 ,10.3 ,Center,Center
 Eric Bledsoe,2.8 ,3.6 ,2.4 ,1.1 ,0.3 ,1.6 ,6.7 ,Guard,Guard
 Eric Gordon,2.9 ,4.4 ,2.7 ,1.3 ,0.3 ,2.1 ,22.3 ,Shooting Guard,Guard
 Eric Maynor,1.5 ,2.9 ,0.9 ,0.4 ,0.1 ,1.2 ,4.2 ,Point Guard,Guard
 Erick Dampier,3.5 ,0.4 ,0.6 ,0.3 ,0.9 ,1.6 ,2.5 ,Center,Center
 Ersan Ilyasova,6.1 ,0.9 ,1.1 ,0.9 ,0.4 ,2.7 ,9.5 ,Forward,Forward
 Etan Thomas,1.8 ,0.2 ,0.4 ,0.1 ,0.3 ,0.8 ,2.5 ,Forward Center,Forward
 Evan Turner,3.9 ,2.0 ,1.0 ,0.6 ,0.2 ,1.8 ,7.2 ,Guard Forward,Guard
 Fabricio Oberto,1.4 ,0.0 ,0.6 ,0.0 ,0.0 ,2.0 ,1.4 ,Forward Center,Forward
 Francisco Elson,1.9 ,0.5 ,0.5 ,0.3 ,0.2 ,1.4 ,2.2 ,Forward Center,Forward
 Francisco Garcia,2.3 ,1.2 ,0.8 ,0.9 ,0.8 ,2.2 ,9.7 ,Guard Forward,Guard
 Gani Lawal,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,Power Forward,Forward
 Garret Siler,1.3 ,0.1 ,0.5 ,0.0 ,0.2 ,1.0 ,2.1 ,Center,Center
 Garrett Temple,1.0 ,1.3 ,1.0 ,0.5 ,0.3 ,1.0 ,2.4 ,Guard,Guard
 Gary Forbes,1.8 ,0.8 ,0.7 ,0.4 ,0.1 ,1.2 ,5.2 ,Guard Forward,Guard
 Gary Neal,2.5 ,1.2 ,1.0 ,0.3 ,0.1 ,1.9 ,9.8 ,Guard,Guard
 George Hill,2.6 ,2.5 ,1.3 ,0.9 ,0.3 ,2.0 ,11.6 ,Guard,Guard
 Gerald Henderson,3.0 ,1.5 ,0.9 ,0.7 ,0.5 ,1.7 ,9.6 ,Guard Forward,Guard
 Gerald Wallace,8.0 ,2.4 ,2.1 ,1.5 ,0.9 ,2.6 ,15.7 ,Forward,Forward
 Gilbert Arenas,2.7 ,3.9 ,2.5 ,1.1 ,0.3 ,2.7 ,10.8 ,Guard,Guard
 Glen Davis,5.4 ,1.2 ,1.1 ,1.0 ,0.4 ,3.0 ,11.7 ,Forward Center,Forward
 Goran Dragic,2.0 ,2.9 ,1.7 ,0.7 ,0.1 ,1.8 ,7.5 ,Guard,Guard
 Gordon Hayward,1.9 ,1.1 ,1.0 ,0.4 ,0.3 ,1.5 ,5.4 ,Guard Forward,Guard
 Grant Hill,4.2 ,2.5 ,1.7 ,0.8 ,0.4 ,2.3 ,13.2 ,Forward,Forward
 Greg Monroe,7.5 ,1.3 ,1.0 ,1.2 ,0.6 ,2.5 ,9.4 ,Forward Center,Forward
 Greivis Vasquez,1.0 ,2.2 ,1.0 ,0.3 ,0.1 ,1.2 ,3.6 ,Guard,Guard
 Hakim Warrick,3.7 ,0.9 ,1.0 ,0.4 ,0.1 ,1.3 ,8.4 ,Power Forward,Forward
 Hamady Ndiaye,0.4 ,0.0 ,0.2 ,0.1 ,0.3 ,1.1 ,0.9 ,Center,Center
 Hamed Haddadi,2.2 ,0.2 ,0.4 ,0.1 ,0.4 ,0.9 ,2.4 ,Center,Center
 Hasheem Thabeet,1.6 ,0.1 ,0.4 ,0.2 ,0.3 ,1.6 ,1.1 ,Center,Center
 Hassan Whiteside,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,Center,Center
 Hedo Turkoglu,4.4 ,4.2 ,1.6 ,0.9 ,0.4 ,3.0 ,10.8 ,Forward,Forward
 Henry Walker,2.0 ,0.6 ,0.6 ,0.3 ,0.1 ,1.3 ,4.9 ,Guard Forward,Guard
 Hilton Armstrong,2.5 ,0.3 ,0.5 ,0.3 ,0.4 ,1.6 ,1.7 ,Forward Center,Forward
