player_id;player;team;age;games_played;wins;losses;minutes;rebounds;assists;turnovers;steals;blocks;personal_fouls;points
1;Aaron Brooks;CHI;31;69;36;33;16.1;1.5;2.6;1.2;0.4;0.1;1.9;7.1
2;Aaron Gordon;ORL;20;78;32;46;23.9;6.5;1.6;0.8;0.8;0.7;2.0;9.2
3;Aaron Harrison;CHA;21;21;15;6;4.4;0.7;0.1;0.2;0.3;0.0;0.5;0.9
4;Adreian Payne;MIN;25;52;18;34;9.3;2.1;0.6;0.7;0.3;0.2;1.5;2.5
5;Al Horford;ATL;30;82;48;34;32.1;7.3;3.2;1.3;0.8;1.5;2.0;15.2
6;Al Jefferson;CHA;31;47;33;14;23.3;6.4;1.5;0.7;0.6;0.9;2.5;12.0
7;Al-Farouq Aminu;POR;25;82;44;38;28.5;6.1;1.7;1.5;0.9;0.6;2.1;10.2
8;Alan Anderson;WAS;33;13;8;5;14.8;2.1;1.1;0.2;0.3;0.1;1.9;5.0
9;Alan Williams;PHX;23;10;3;7;6.8;3.8;0.5;0.6;0.4;0.5;1.5;2.9
10;Alec Burks;UTA;24;31;13;18;25.7;3.5;2.0;1.6;0.6;0.1;2.3;13.3
11;Alex Len;PHX;23;78;23;55;23.3;7.6;1.2;1.9;0.5;0.8;2.9;9.0
12;Alex Stepheson;MEM;28;8;2;6;9.0;3.5;0.3;0.0;0.1;0.6;1.5;2.8
13;Alexis Ajinca;NOP;28;59;20;39;14.6;4.6;0.5;0.9;0.3;0.6;2.3;6.0
14;Allen Crabbe;POR;24;81;43;38;26.0;2.7;1.2;0.8;0.8;0.2;2.4;10.3
15;Alonzo Gee;NOP;29;73;27;46;22.4;3.4;1.0;0.8;0.9;0.2;2.3;4.5
16;Amar'e Stoudemire;MIA;33;52;30;22;14.7;4.3;0.5;0.9;0.3;0.8;1.8;5.8
17;Amir Johnson;BOS;29;79;45;34;22.8;6.4;1.7;1.2;0.7;1.1;2.7;7.3
18;Anderson Varejao;GSW;33;53;41;12;9.4;2.7;0.7;0.4;0.3;0.2;1.3;2.6
19;Andre Drummond;DET;22;81;43;38;32.9;14.8;0.8;1.9;1.5;1.4;3.0;16.2
20;Andre Iguodala;GSW;32;65;59;6;26.6;4.0;3.4;1.2;1.1;0.3;1.6;7.0
21;Andre Miller;SAS;40;39;20;19;11.8;1.3;2.2;0.9;0.4;0.0;1.2;3.7
22;Andre Roberson;OKC;24;70;48;22;22.2;3.6;0.7;0.5;0.8;0.6;1.9;4.8
23;Andrea Bargnani;BKN;30;46;11;35;13.8;2.1;0.4;0.6;0.1;0.2;1.3;6.6
24;Andrew Bogut;GSW;31;70;62;8;20.7;7.0;2.3;1.2;0.5;1.6;3.2;5.4
25;Andrew Goudelock;HOU;27;8;5;3;6.2;0.3;0.5;0.9;0.8;0.3;0.5;2.8
26;Andrew Nicholson;ORL;26;56;22;34;14.7;3.6;0.4;0.7;0.2;0.4;1.2;6.9
27;Andrew Wiggins;MIN;21;81;29;52;35.1;3.6;2.0;2.2;1.0;0.6;2.0;20.7
28;Anthony Bennett;TOR;23;19;12;7;4.4;1.2;0.0;0.2;0.3;0.0;0.4;1.5
29;Anthony Brown;LAL;23;29;4;25;20.6;2.4;0.7;0.5;0.5;0.2;1.2;4.0
30;Anthony Davis;NOP;23;61;24;37;35.5;10.3;1.9;2.0;1.3;2.0;2.4;24.3
31;Anthony Morrow;OKC;30;68;46;22;13.6;0.9;0.4;0.3;0.3;0.1;0.9;5.6
32;Anthony Tolliver;DET;31;72;36;36;18.6;3.2;0.7;0.4;0.4;0.2;1.2;5.3
33;Archie Goodwin;PHX;21;57;14;43;19.5;2.5;2.1;1.8;0.5;0.2;1.5;8.9
34;Aron Baynes;DET;29;81;43;38;15.2;4.7;0.6;0.8;0.3;0.6;1.9;6.3
35;Arron Afflalo;NYK;30;71;27;44;33.4;3.7;2.0;1.2;0.4;0.1;2.0;12.8
36;Austin Rivers;LAC;23;67;42;25;21.8;1.9;1.5;0.9;0.7;0.1;2.0;8.9
37;Avery Bradley;BOS;25;76;45;31;33.4;2.9;2.1;1.4;1.5;0.3;2.2;15.2
38;Axel Toupane;DEN;23;21;9;12;14.5;1.5;0.7;0.3;0.3;0.3;1.9;3.6
39;Ben McLemore;SAC;23;68;28;40;21.2;2.2;1.2;1.5;0.8;0.1;2.1;7.8
40;Beno Udrih;MEM;33;44;26;18;16.1;1.6;2.6;1.2;0.3;0.0;1.2;4.7
41;Bismack Biyombo;TOR;23;82;56;26;22.0;8.0;0.4;0.9;0.2;1.6;2.7;5.5
42;Blake Griffin;LAC;27;35;22;13;33.4;8.4;4.9;2.4;0.8;0.5;2.7;21.4
43;Boban Marjanovic;SAS;27;54;47;7;9.4;3.6;0.4;0.5;0.2;0.4;1.0;5.5
44;Bobby Portis;CHI;21;62;29;33;17.8;5.4;0.8;0.9;0.4;0.4;1.6;7.0
45;Bojan Bogdanovic;BKN;27;79;21;58;26.8;3.2;1.3;1.5;0.4;0.1;1.5;11.2
46;Boris Diaw;SAS;34;76;64;12;18.2;3.1;2.3;1.3;0.3;0.3;1.3;6.4
47;Bradley Beal;WAS;23;55;28;27;31.1;3.4;2.9;2.0;1.0;0.2;2.1;17.4
48;Brandan Wright;MEM;28;12;6;6;17.7;3.6;0.5;0.8;0.4;1.3;1.8;6.9
49;Branden Dawson;LAC;23;6;5;1;4.8;0.7;0.0;0.0;0.0;0.2;0.3;0.8
50;Brandon Bass;LAL;31;66;16;50;20.3;4.3;1.1;0.6;0.5;0.8;1.9;7.2
51;Brandon Jennings;ORL;26;48;20;28;18.1;2.0;3.5;1.2;0.6;0.1;1.2;6.9
52;Brandon Knight;PHX;24;52;16;36;36.0;3.9;5.1;3.4;1.2;0.4;2.4;19.6
53;Brandon Rush;GSW;30;72;63;9;14.6;2.5;0.8;0.5;0.3;0.3;0.8;4.2
54;Brian Roberts;POR;30;51;26;25;9.2;0.8;1.1;0.5;0.2;0.0;0.7;4.0
55;Briante Weber;MIA;23;7;3;4;24.1;3.6;3.0;1.3;1.3;0.4;1.7;4.4
56;Brook Lopez;BKN;28;73;21;52;33.7;7.8;2.0;2.4;0.8;1.7;2.9;20.6
57;Bruno Caboclo;TOR;20;6;6;0;7.1;0.3;0.2;0.7;0.3;0.2;0.3;0.5
58;Bryce Cotton;MEM;23;8;1;7;4.8;0.0;0.4;0.6;0.4;0.0;0.3;1.0
59;Bryce Dejean-Jones;NOP;23;14;8;6;19.9;3.4;1.1;0.8;0.7;0.1;1.2;5.6
60;CJ McCollum;POR;24;80;44;36;34.7;3.2;4.3;2.5;1.2;0.3;2.3;20.8
61;CJ Miles;IND;29;64;34;30;22.9;2.7;1.0;1.1;0.8;0.5;2.2;11.8
62;CJ Watson;ORL;32;33;14;19;19.9;2.0;2.7;0.8;0.6;0.2;1.5;4.3
63;CJ Wilcox;LAC;25;23;15;8;7.3;0.5;0.4;0.1;0.4;0.1;0.7;3.0
64;Cameron Bairstow;DET;25;18;4;14;5.7;1.6;0.3;0.2;0.1;0.2;1.1;1.9
65;Cameron Payne;OKC;21;57;44;13;12.2;1.5;1.9;0.8;0.6;0.1;1.4;5.0
66;Carl Landry;PHI;32;36;5;31;15.8;4.1;0.9;0.6;0.3;0.3;1.9;9.8
67;Carmelo Anthony;NYK;32;72;32;40;35.1;7.7;4.2;2.4;0.9;0.5;2.5;21.8
68;Caron Butler;SAC;36;17;2;15;10.3;1.3;0.6;0.2;0.5;0.1;1.1;3.7
69;Chandler Parsons;DAL;27;61;29;32;29.5;4.7;2.8;1.6;0.8;0.3;1.9;13.7
70;Channing Frye;CLE;33;70;35;35;17.1;3.3;1.0;0.6;0.4;0.4;1.8;6.1
71;Charles Hayes;LAC;33;2;1;1;11.9;4.0;1.0;1.5;0.0;0.0;3.0;2.0
72;Charlie Villanueva;DAL;31;62;29;33;10.7;2.5;0.4;0.5;0.3;0.2;1.1;5.1
73;Chase Budinger;PHX;28;66;29;37;14.1;2.3;1.0;0.7;0.5;0.2;0.9;4.1
74;Chris Andersen;MEM;37;27;11;16;14.9;3.6;0.4;0.3;0.6;0.5;1.1;3.9
75;Chris Bosh;MIA;32;53;29;24;33.5;7.4;2.4;1.5;0.7;0.6;1.9;19.1
76;Chris Copeland;MIL;32;24;10;14;6.5;0.4;0.5;0.3;0.1;0.0;0.7;2.1
77;Chris Johnson;UTA;26;70;38;32;12.2;1.9;0.6;0.6;0.5;0.3;1.4;2.9
78;Chris Kaman;POR;34;16;11;5;7.0;1.5;0.7;0.5;0.1;0.1;0.9;2.8
79;Chris McCullough;BKN;21;24;7;17;15.1;2.8;0.4;0.6;1.2;0.5;1.6;4.7
80;Chris Paul;LAC;31;74;50;24;32.7;4.2;10.0;2.6;2.1;0.2;2.5;19.5
81;Christian Wood;PHI;20;17;0;17;8.5;2.2;0.2;0.1;0.3;0.4;0.6;3.6
82;Cleanthony Early;NYK;25;17;6;11;9.0;1.5;0.4;0.5;0.1;0.2;0.9;1.8
83;Cliff Alexander;POR;20;8;3;5;4.5;0.8;0.0;0.1;0.1;0.3;0.1;1.3
84;Clint Capela;HOU;22;77;39;38;19.1;6.4;0.6;0.8;0.8;1.2;2.5;7.0
85;Cody Zeller;CHA;23;73;42;31;24.3;6.2;1.0;0.9;0.8;0.9;2.8;8.7
86;Cole Aldrich;LAC;27;60;41;19;13.3;4.8;0.8;1.1;0.8;1.1;2.3;5.5
87;Corey Brewer;HOU;30;82;41;41;20.4;2.4;1.3;1.0;1.0;0.2;2.0;7.2
88;Cory Jefferson;PHX;25;8;2;6;6.3;2.0;0.0;0.0;0.0;0.1;1.0;2.8
89;Cory Joseph;TOR;24;80;54;26;25.6;2.6;3.1;1.3;0.8;0.3;1.6;8.5
90;Coty Clarke;BOS;23;3;0;3;1.9;0.3;0.0;0.3;0.0;0.0;0.0;2.0
91;Courtney Lee;CHA;30;79;49;30;29.6;2.6;1.7;0.9;1.1;0.4;1.7;9.6
92;Cristiano Felicio;CHI;23;31;14;17;10.3;3.3;0.8;0.4;0.2;0.4;1.0;3.4
93;D'Angelo Russell;LAL;20;80;17;63;28.2;3.4;3.3;2.5;1.2;0.2;1.8;13.2
94;D.J. Augustin;DEN;28;62;35;27;19.0;1.5;3.2;1.4;0.6;0.1;1.4;7.5
95;Dahntay Jones;CLE;35;1;0;1;42.4;5.0;2.0;0.0;1.0;2.0;6.0;13.0
96;Damian Lillard;POR;25;75;40;35;35.7;4.0;6.8;3.2;0.9;0.4;2.2;25.1
97;Damien Inglis;MIL;21;20;5;15;7.8;1.6;0.5;0.6;0.3;0.2;0.6;1.8
98;Damjan Rudez;MIN;30;33;9;24;8.4;0.6;0.3;0.4;0.1;0.0;1.0;2.3
99;Danilo Gallinari;DEN;27;53;22;31;34.7;5.3;2.5;1.5;0.8;0.4;1.6;19.5
100;Danny Green;SAS;29;79;65;14;26.1;3.8;1.8;0.9;1.0;0.8;1.8;7.2
101;Dante Cunningham;NOP;29;80;28;52;24.6;3.0;1.0;0.5;0.5;0.4;2.2;6.1
102;Darrell Arthur;DEN;28;70;26;44;21.7;4.2;1.4;0.9;0.8;0.7;2.6;7.5
103;Darren Collison;SAC;28;74;29;45;30.0;2.3;4.3;1.8;1.0;0.1;1.9;14.0
104;Darrun Hilliard;DET;23;38;17;21;10.1;1.2;0.7;0.5;0.2;0.0;0.7;4.0
105;David Lee;DAL;33;55;27;28;16.4;5.5;1.5;1.2;0.4;0.5;2.1;7.8
106;David West;SAS;35;78;63;15;18.0;4.0;1.8;0.9;0.6;0.7;1.8;7.1
107;DeAndre Jordan;LAC;27;77;51;26;33.7;13.8;1.2;1.4;0.7;2.3;2.7;12.7
108;DeJuan Blair;WAS;27;29;12;17;7.5;2.0;0.4;0.5;0.3;0.1;1.8;2.1
109;DeMar DeRozan;TOR;26;78;53;25;35.9;4.5;4.0;2.2;1.0;0.3;2.1;23.5
110;DeMarcus Cousins;SAC;25;65;29;36;34.6;11.5;3.3;3.8;1.6;1.4;3.6;26.9
111;DeMarre Carroll;TOR;29;26;16;10;30.2;4.7;1.0;1.1;1.7;0.2;2.4;11.0
112;Delon Wright;TOR;24;27;19;8;8.5;1.4;1.1;0.6;0.3;0.1;0.3;3.8
113;Dennis Schroder;ATL;22;80;47;33;20.3;2.6;4.4;2.3;0.9;0.1;1.7;11.0
114;Deron Williams;DAL;32;65;31;34;32.4;2.9;5.8;2.3;0.9;0.2;2.4;14.1
115;Derrick Favors;UTA;24;62;30;32;32.0;8.1;1.5;1.7;1.2;1.5;2.4;16.4
116;Derrick Rose;CHI;27;66;32;34;31.8;3.4;4.7;2.7;0.7;0.2;1.3;16.4
117;Derrick Williams;NYK;25;80;32;48;17.9;3.7;0.9;0.8;0.4;0.1;0.9;9.3
118;Devin Booker;PHX;19;76;20;56;27.7;2.5;2.6;2.1;0.6;0.3;3.0;13.8
119;Devin Harris;DAL;33;64;35;29;20.0;2.2;1.8;1.0;0.9;0.2;1.9;7.6
120;Devyn Marble;ORL;23;28;12;16;8.9;1.4;0.4;0.3;0.5;0.0;0.9;2.1
121;Dewayne Dedmon;ORL;26;58;21;37;12.2;3.9;0.2;0.6;0.4;0.8;1.9;4.4
122;Dion Waiters;OKC;24;78;53;25;27.6;2.6;2.0;1.5;1.0;0.2;1.8;9.8
123;Dirk Nowitzki;DAL;38;75;38;37;31.5;6.5;1.8;1.1;0.7;0.7;2.1;18.3
124;Donald Sloan;BKN;28;61;13;48;21.6;2.8;4.4;1.3;0.5;0.1;1.2;7.0
125;Donatas Motiejunas;HOU;25;37;19;18;14.8;2.9;1.1;1.2;0.5;0.1;1.9;6.2
126;Doug McDermott;CHI;24;81;41;40;23.0;2.4;0.7;0.7;0.2;0.1;1.6;9.4
127;Draymond Green;GSW;26;81;73;8;34.7;9.5;7.4;3.2;1.5;1.4;3.0;14.0
128;Drew Gooden;WAS;34;30;18;12;10.2;2.8;0.4;0.4;0.3;0.4;1.3;2.7
129;Duje Dukan;SAC;24;1;0;1;24.2;4.0;1.0;0.0;1.0;0.0;2.0;6.0
130;Dwight Howard;HOU;30;71;34;37;32.1;11.8;1.4;2.3;1.0;1.6;3.1;13.7
131;Dwight Powell;DAL;24;69;35;34;14.4;4.0;0.6;0.6;0.5;0.3;1.7;5.8
132;Dwyane Wade;MIA;34;74;43;31;30.5;4.1;4.6;2.7;1.1;0.6;1.6;19.0
133;E'Twaun Moore;CHI;27;59;29;30;21.4;2.3;1.7;0.9;0.6;0.3;1.7;7.5
134;Ed Davis;POR;27;81;43;38;20.8;7.4;1.1;0.8;0.7;0.9;2.5;6.5
135;Elfrid Payton;ORL;22;73;32;41;29.4;3.6;6.4;2.4;1.2;0.3;2.2;10.7
136;Elijah Millsap;UTA;28;20;9;11;8.6;1.8;1.0;0.5;0.4;0.2;1.7;1.8
