Rebounds,Assisst,Turnovers,Steals,Blocks,Personal Fouls,Points,Position,General Position
Andrew Bogut,7,2.3,1.2,0.5,1.6,3.2,5.4,Center,Center
Aron Baynes,4.7,0.6,0.8,0.3,0.6,1.9,6.3,Center,Center
Boban Marjanovic,3.6,0.4,0.5,0.2,0.4,1,5.5,Center,Center
Brook Lopez,7.8,2,2.4,0.8,1.7,2.9,20.6,Center,Center
Cole Aldrich,4.8,0.8,1.1,0.8,1.1,2.3,5.5,Center,Center
Cristiano Felicio,3.3,0.8,0.4,0.2,0.4,1,3.4,Center,Center
DeAndre Jordan,13.8,1.2,1.4,0.7,2.3,2.7,12.7,Center,Center
Dewayne Dedmon,3.9,0.2,0.6,0.4,0.8,1.9,4.4,Center,Center
Edy Tavares,1.9,0.3,0.5,0.1,0.5,0.7,2.3,Center,Center
Enes Kanter,8.1,0.4,1.4,0.3,0.4,2,12.7,Center,Center
Festus Ezeli,5.6,0.7,0.8,0.4,1.1,2,7,Center,Center
Hassan Whiteside,11.8,0.4,1.9,0.6,3.7,2.8,14.2,Center,Center
Henry Sims,5.1,0.6,0.9,0.6,1,2.6,6.5,Center,Center
Ian Mahinmi,7.1,1.5,1.4,0.9,1.1,3.1,9.3,Center,Center
Jahlil Okafor,7,1.2,2.3,0.4,1.2,2.6,17.5,Center,Center
JaVale McGee,3.9,0.1,0.6,0.1,0.8,1.4,5.1,Center,Center
Jeff Withey,3.4,0.4,0.5,0.4,1,1.5,4.3,Center,Center
Jonas Valanciunas,9.1,0.7,1.4,0.4,1.3,2.6,12.8,Center,Center
Jusuf Nurkic,5.5,1.3,1.7,0.8,1.4,2.8,8.2,Center,Center
Karl-Anthony Towns,10.5,2,2.2,0.7,1.7,3,18.3,Center,Center
Kelly Olynyk,4.1,1.5,1.1,0.8,0.5,2.4,10,Center,Center
Kendrick Perkins,3.5,0.8,1.1,0.3,0.3,1.7,2.5,Center,Center
Lucas Nogueira,1.6,0.2,0.4,0.4,0.4,1,2.2,Center,Center
Marc Gasol,7,3.8,2.3,1,1.3,2.7,16.6,Center,Center
Marcin Gortat,9.9,1.4,1.6,0.6,1.3,2.6,13.5,Center,Center
Nazr Mohammed,0.8,0,0.6,0,0,0.8,1.6,Center,Center
Nikola Pekovic,1.8,0.9,0.8,0.1,0,1.8,4.5,Center,Center
Robert Sacre,2.9,0.6,0.5,0.2,0.4,1.7,3.5,Center,Center
Robin Lopez,7.3,1.4,1.6,0.2,1.6,2.2,10.3,Center,Center
Roy Hibbert,4.9,1.2,0.9,0.4,1.4,3.1,5.9,Center,Center
Rudy Gobert,11,1.5,1.9,0.7,2.2,2.7,9.1,Center,Center
Ryan Hollins,2.6,0.3,0.6,0.2,0.6,1.7,3.4,Center,Center
Salah Mejri,3.6,0.3,0.7,0.2,1.1,1.6,3.7,Center,Center
